doc_id_1,doc_id_2,shared_bands,jaccard,decision
34939,54732,2,0.5385,below_threshold
34939,37226,3,0.6774,below_threshold
34939,37006,4,0.6774,below_threshold
34939,30879,4,0.6774,below_threshold
34939,92323,2,0.5000,below_threshold
34939,31248,2,0.6364,below_threshold
34939,33389,3,0.6562,below_threshold
36357,24152,1,0.4884,below_threshold
36357,54732,1,0.4583,below_threshold
36357,37226,1,0.5122,below_threshold
36357,37006,1,0.5122,below_threshold
36357,30879,1,0.5122,below_threshold
36357,92323,1,0.3913,below_threshold
36357,31248,1,0.4884,below_threshold
36357,33389,1,0.5000,below_threshold
24152,54732,1,0.5122,below_threshold
24152,37226,2,0.6364,below_threshold
24152,37006,3,0.6364,below_threshold
24152,30879,3,0.6364,below_threshold
24152,92323,1,0.4737,below_threshold
24152,31248,1,0.6000,below_threshold
24152,33389,2,0.6176,below_threshold
54732,37226,2,0.5385,below_threshold
54732,37006,1,0.5385,below_threshold
54732,30879,2,0.5385,below_threshold
54732,92323,1,0.4091,below_threshold
54732,31248,1,0.5122,below_threshold
54732,33389,2,0.5250,below_threshold
37226,37006,2,0.6774,below_threshold
37226,30879,3,0.6774,below_threshold
37226,92323,1,0.5000,below_threshold
37226,31248,1,0.6364,below_threshold
37226,33389,3,0.6562,below_threshold
37006,30879,4,0.6774,below_threshold
37006,92323,2,0.5000,below_threshold
37006,31248,3,0.6364,below_threshold
37006,33389,3,0.6562,below_threshold
30879,92323,2,0.5000,below_threshold
30879,31248,2,0.6364,below_threshold
30879,33389,3,0.6562,below_threshold
92323,31248,1,0.4737,below_threshold
92323,33389,1,0.4865,below_threshold
31248,33389,2,0.6176,below_threshold
67310,67378,7,0.7083,below_threshold
98834,77671,12,0.9574,duplicate
33191,98631,13,0.9500,duplicate
73681,73705,10,0.8750,duplicate
73681,73637,9,0.8293,duplicate
73705,73637,9,0.8095,duplicate
28235,98309,7,0.8140,duplicate
98073,85064,5,0.8000,duplicate
98073,64151,9,0.9111,duplicate
85064,64151,3,0.8000,duplicate
43641,43122,10,0.9186,duplicate
46153,86019,12,0.9242,duplicate
10154,91810,7,0.7209,below_threshold
99386,16934,7,0.7447,below_threshold
99386,17166,11,0.8636,duplicate
16934,17166,11,0.8537,duplicate
84347,96566,6,0.7073,below_threshold
97669,55126,12,0.9149,duplicate
88019,77153,10,0.9500,duplicate
59232,60623,11,0.9268,duplicate
89757,94788,7,0.6863,below_threshold
89757,16388,9,0.8298,duplicate
94788,16388,9,0.8298,duplicate
91978,73236,5,0.7059,below_threshold
89272,22153,12,0.9512,duplicate
99932,68521,15,0.9600,duplicate
99932,97030,9,0.8148,duplicate
68521,97030,10,0.8462,duplicate
27286,98953,11,0.8966,duplicate
94847,502,10,0.8636,duplicate
59971,94751,3,0.7241,below_threshold
42950,98969,13,0.9091,duplicate
23244,89136,5,0.6552,below_threshold
25323,99718,14,0.9773,duplicate
99488,4597,15,0.9701,duplicate
99488,99598,14,0.9559,duplicate
4597,99598,15,0.9848,duplicate
61995,99083,9,0.8966,duplicate
96274,64641,10,0.8378,duplicate
31333,98268,11,0.8667,duplicate
95691,71706,5,0.6667,below_threshold
95206,2074,12,0.8696,duplicate
99629,8443,10,0.8919,duplicate
90626,41078,11,0.8824,duplicate
88862,61833,9,0.8776,duplicate
62247,62354,9,0.8462,duplicate
4532,88910,5,0.8222,duplicate
92563,78572,7,0.7778,below_threshold
96854,64835,9,0.8696,duplicate
94825,9206,4,0.7000,below_threshold
94091,51878,2,0.7000,below_threshold
89773,2717,10,0.8261,duplicate
93225,42223,5,0.7959,below_threshold
46646,99791,14,0.9459,duplicate
99268,21947,15,0.9500,duplicate
15385,96265,9,0.8750,duplicate
55635,88555,10,0.8378,duplicate
47124,94009,8,0.8125,duplicate
16429,90190,13,0.9459,duplicate
92897,73149,4,0.6250,below_threshold
92897,92639,3,0.5294,below_threshold
73149,92639,5,0.7333,below_threshold
60814,98389,13,0.9167,duplicate
39334,99455,9,0.8864,duplicate
39334,39339,10,0.8140,duplicate
99455,39339,7,0.7292,below_threshold
88743,34952,12,0.9524,duplicate
71932,71907,1,0.6053,below_threshold
19749,90226,6,0.7778,below_threshold
99328,38305,15,0.9737,duplicate
79410,90948,4,0.7647,below_threshold
6577,6740,9,0.8776,duplicate
99646,11040,13,0.9375,duplicate
99646,91851,7,0.6316,below_threshold
11040,91851,8,0.6667,below_threshold
35213,98528,12,0.9412,duplicate
81162,82211,1,0.4043,below_threshold
46098,99630,10,0.9375,duplicate
59353,88355,7,0.8636,duplicate
90174,48995,10,0.9231,duplicate
80134,90686,14,0.9545,duplicate
88528,37117,5,0.6471,below_threshold
95393,19948,6,0.7778,below_threshold
73927,73925,10,0.8409,duplicate
97826,92771,4,0.6667,below_threshold
97826,70670,14,0.9048,duplicate
92771,70670,5,0.7391,below_threshold
41681,40903,3,0.6170,below_threshold
41681,41339,7,0.7442,below_threshold
41681,41361,10,0.8500,duplicate
40903,41339,2,0.6042,below_threshold
40903,41361,3,0.6170,below_threshold
41339,41361,6,0.7045,below_threshold
45438,98745,13,0.9583,duplicate
45294,43874,1,0.4528,below_threshold
88114,84588,6,0.7500,below_threshold
91814,27975,4,0.7895,below_threshold
4316,92459,6,0.7391,below_threshold
88818,32715,6,0.8095,duplicate
39536,99631,15,0.9524,duplicate
95945,25161,2,0.6757,below_threshold
15330,99894,7,0.8936,duplicate
8292,8312,8,0.8298,duplicate
8292,99327,12,0.9184,duplicate
8312,99327,7,0.7647,below_threshold
93090,52477,7,0.6757,below_threshold
95490,78524,5,0.7600,below_threshold
87853,98613,14,0.9375,duplicate
87853,56272,3,0.6222,below_threshold
98613,56272,3,0.5957,below_threshold
22805,89100,3,0.7021,below_threshold
60915,97457,15,0.9070,duplicate
68138,68142,1,0.3548,below_threshold
68138,68625,1,0.3636,below_threshold
68142,68625,3,0.6078,below_threshold
60874,60875,11,0.8571,duplicate
60874,60872,8,0.8571,duplicate
60875,60872,8,0.8571,duplicate
42265,97587,10,0.8889,duplicate
95111,1347,15,0.9474,duplicate
42283,88333,9,0.8636,duplicate
70211,87703,13,0.8857,duplicate
70211,92825,5,0.7838,below_threshold
70211,70092,5,0.8056,duplicate
87703,92825,4,0.6923,below_threshold
87703,70092,4,0.7105,below_threshold
92825,70092,4,0.6667,below_threshold
14228,15325,9,0.8182,duplicate
96156,26171,6,0.8667,duplicate
18703,18741,2,0.6167,below_threshold
78591,98768,12,0.9118,duplicate
21178,35177,15,0.9759,duplicate
78290,99564,12,0.9583,duplicate
10016,95338,6,0.7647,below_threshold
58546,89853,8,0.8367,duplicate
44353,44374,3,0.7500,below_threshold
94508,32315,11,0.7568,below_threshold
99953,27129,13,0.9545,duplicate
99953,92041,8,0.8495,duplicate
27129,92041,9,0.8876,duplicate
55180,54895,3,0.6735,below_threshold
92876,88043,4,0.6744,below_threshold
92876,42867,5,0.8000,duplicate
88043,42867,11,0.8462,duplicate
20652,20840,2,0.5532,below_threshold
95698,70201,5,0.7447,below_threshold
94519,78013,4,0.7143,below_threshold
22874,22774,7,0.8182,duplicate
3717,26346,7,0.7321,below_threshold
71909,72265,3,0.6000,below_threshold
71909,71888,4,0.8222,duplicate
72265,71888,1,0.6000,below_threshold
94781,27000,9,0.8667,duplicate
98690,84487,13,0.9286,duplicate
7985,88410,5,0.7627,below_threshold
92617,51525,2,0.7143,below_threshold
42233,97756,8,0.8824,duplicate
59396,89818,8,0.7576,below_threshold
47147,47186,2,0.4630,below_threshold
98977,85642,5,0.8750,duplicate
98483,18588,11,0.9070,duplicate
82596,99369,10,0.9375,duplicate
43580,97105,12,0.8947,duplicate
98913,32336,13,0.9322,duplicate
18750,99886,9,0.8913,duplicate
45199,45325,4,0.6667,below_threshold
60013,98973,11,0.8684,duplicate
60013,61753,1,0.3750,below_threshold
98973,61753,1,0.3396,below_threshold
92997,10851,7,0.8286,duplicate
68891,85417,8,0.7857,below_threshold
54687,98339,10,0.8919,duplicate
85615,6388,9,0.8409,duplicate
88797,24666,13,0.9565,duplicate
5036,5042,5,0.7826,below_threshold
39628,39519,1,0.4894,below_threshold
61746,61826,5,0.6762,below_threshold
61746,99105,16,0.9892,duplicate
61826,99105,5,0.6698,below_threshold
93215,51068,9,0.8442,duplicate
93582,42470,3,0.7576,below_threshold
65650,65552,1,0.6000,below_threshold
2303,94207,6,0.7551,below_threshold
99865,8395,11,0.9375,duplicate
92678,43726,5,0.7391,below_threshold
98838,582,12,0.9254,duplicate
7826,99761,15,0.9318,duplicate
64289,88828,13,0.9310,duplicate
15782,99850,7,0.8718,duplicate
93924,5479,11,0.7647,below_threshold
60777,59906,1,0.2642,below_threshold
52943,90623,1,0.3810,below_threshold
52943,42855,1,0.4500,below_threshold
52943,43204,2,0.4872,below_threshold
52943,52358,1,0.4500,below_threshold
52943,37467,1,0.5135,below_threshold
52943,46853,1,0.4634,below_threshold
90623,42855,1,0.3810,below_threshold
90623,43204,2,0.3810,below_threshold
90623,52358,5,0.7576,below_threshold
90623,37467,1,0.4000,below_threshold
90623,46853,2,0.3636,below_threshold
42855,43204,2,0.4500,below_threshold
42855,52358,2,0.4872,below_threshold
42855,37467,1,0.4737,below_threshold
42855,46853,1,0.4286,below_threshold
43204,52358,2,0.4500,below_threshold
43204,37467,2,0.5135,below_threshold
43204,46853,2,0.4634,below_threshold
52358,37467,1,0.4737,below_threshold
52358,46853,3,0.4286,below_threshold
37467,46853,1,0.4872,below_threshold
97663,28703,7,0.9167,duplicate
18031,19299,6,0.8125,duplicate
99648,77562,15,0.9535,duplicate
10763,11415,4,0.7027,below_threshold
60225,92306,4,0.5862,below_threshold
77973,49150,7,0.7200,below_threshold
97152,10543,12,0.9200,duplicate
91169,49857,4,0.7736,below_threshold
97922,85185,11,0.9048,duplicate
89741,2264,7,0.8286,duplicate
99277,11352,13,0.9048,duplicate
99677,51450,13,0.9600,duplicate
71644,57267,1,0.5000,below_threshold
96817,32103,6,0.7209,below_threshold
96078,40740,4,0.7000,below_threshold
84651,84518,6,0.6923,below_threshold
95758,20613,10,0.8776,duplicate
41320,41481,7,0.8298,duplicate
95961,24438,6,0.7273,below_threshold
94094,10592,4,0.7692,below_threshold
71499,90275,11,0.8667,duplicate
90606,32300,6,0.7692,below_threshold
57736,88042,5,0.6471,below_threshold
96245,10277,7,0.8462,duplicate
99640,8793,8,0.8500,duplicate
72785,98670,12,0.9302,duplicate
89823,83350,12,0.9355,duplicate
38573,38480,6,0.6786,below_threshold
42676,42221,5,0.6744,below_threshold
32699,32683,5,0.7083,below_threshold
40443,96541,4,0.6471,below_threshold
40443,40361,4,0.6176,below_threshold
96541,40361,2,0.4474,below_threshold
1479,1346,6,0.7021,below_threshold
35785,96326,10,0.8033,duplicate
93027,79301,5,0.7073,below_threshold
74134,98298,10,0.9259,duplicate
35824,94307,11,0.9310,duplicate
31765,95222,11,0.9512,duplicate
86915,93092,9,0.8182,duplicate
99429,19449,14,0.9474,duplicate
61961,99939,12,0.9500,duplicate
25942,88772,10,0.8824,duplicate
28925,93131,4,0.5714,below_threshold
28925,28780,5,0.6098,below_threshold
93131,28780,8,0.7895,below_threshold
52610,92463,4,0.6364,below_threshold
65161,89800,11,0.9000,duplicate
9262,96316,12,0.8750,duplicate
24556,99112,10,0.9231,duplicate
95854,25353,8,0.8125,duplicate
95854,25192,2,0.5000,below_threshold
25353,25192,3,0.6216,below_threshold
98719,32233,13,0.9231,duplicate
99578,72163,10,0.9211,duplicate
43485,88480,13,0.9355,duplicate
36505,99849,9,0.8824,duplicate
99065,44604,15,0.9722,duplicate
25329,92475,7,0.8462,duplicate
26403,26381,1,0.4444,below_threshold
72686,72328,5,0.7959,below_threshold
82827,99620,11,0.9216,duplicate
65335,95664,7,0.8684,duplicate
96431,71899,10,0.9556,duplicate
59682,58813,13,0.9375,duplicate
38412,40654,11,0.8372,duplicate
96170,71929,2,0.7143,below_threshold
90058,48179,6,0.7455,below_threshold
69575,69574,3,0.7907,below_threshold
98358,49127,9,0.9070,duplicate
30801,94250,7,0.7949,below_threshold
45810,45845,1,0.5167,below_threshold
98330,49519,12,0.9304,duplicate
15140,95831,6,0.8286,duplicate
90750,72591,8,0.8571,duplicate
89763,91998,2,0.5510,below_threshold
89763,31774,5,0.6889,below_threshold
91998,31774,7,0.8095,duplicate
69597,96477,10,0.8500,duplicate
92577,45586,4,0.7600,below_threshold
95361,9747,5,0.8235,duplicate
48371,91289,5,0.6774,below_threshold
98882,85133,15,0.9545,duplicate
34759,90757,15,0.9474,duplicate
91780,71557,8,0.7273,below_threshold
89583,30487,12,0.8800,duplicate
11533,92619,8,0.7297,below_threshold
74146,95474,10,0.9259,duplicate
98677,75599,12,0.9459,duplicate
99363,25878,12,0.9459,duplicate
10025,98785,13,0.9143,duplicate
46049,45686,1,0.4286,below_threshold
79746,99676,14,0.9062,duplicate
94692,13105,3,0.7241,below_threshold
93710,50646,5,0.7500,below_threshold
96419,83616,6,0.7241,below_threshold
34213,34116,8,0.8276,duplicate
96023,23180,9,0.8537,duplicate
97255,6262,13,0.9070,duplicate
78969,99387,9,0.9118,duplicate
95345,21510,8,0.7931,below_threshold
5417,4612,2,0.6538,below_threshold
97060,76174,13,0.9048,duplicate
77619,76597,10,0.8409,duplicate
45708,91298,12,0.8462,duplicate
96802,45684,6,0.7500,below_threshold
24915,96172,5,0.8125,duplicate
95565,35980,3,0.6364,below_threshold
94328,16907,13,0.8868,duplicate
94328,85351,9,0.7321,below_threshold
16907,85351,11,0.8302,duplicate
7196,91439,4,0.6250,below_threshold
86420,92209,2,0.7333,below_threshold
