doc_id_1,doc_id_2,shared_bands
81262,54876,6
81262,81550,4
81483,64317,3
81483,59416,4
81483,96584,2
81483,72028,2
81483,68215,3
81483,71053,6
81483,69270,5
81483,95344,1
81483,54876,4
81483,81550,3
64317,59416,4
64317,96584,5
64317,72028,2
64317,68215,2
64317,71053,3
64317,69270,5
64317,95344,1
64317,54876,3
64317,81550,3
59416,96584,3
59416,72028,2
59416,68215,2
59416,71053,4
59416,69270,5
59416,95344,4
59416,54876,4
59416,81550,3
96584,72028,2
96584,68215,2
96584,71053,3
96584,69270,3
96584,95344,1
96584,54876,4
96584,81550,4
72028,68215,5
72028,71053,4
72028,69270,3
72028,95344,1
72028,54876,3
72028,81550,3
68215,71053,5
68215,69270,3
68215,95344,1
68215,54876,3
68215,81550,3
71053,69270,5
71053,95344,1
71053,54876,5
71053,81550,4
69270,95344,1
69270,54876,6
69270,81550,3
95344,54876,1
95344,81550,1
54876,81550,4
43064,93962,7
92772,3291,7
79803,95154,4
3131,97065,8
37570,99491,11
37570,97632,10
99491,97632,7
92839,72124,5
32185,93871,5
62535,96653,10
14611,12583,4
14611,12455,8
12583,12455,4
33587,35244,13
5698,99152,11
72378,99305,10
95031,61655,5
55418,95026,4
61656,91431,6
99331,74449,10
10628,90915,13
49656,88164,13
99360,31899,15
59356,59544,7
96999,87284,8
88557,57785,5
94108,59589,3
1806,1638,3
94693,66494,9
39480,85264,7
47077,89579,4
73169,73243,6
11517,99610,8
93010,82556,6
48964,49088,9
49804,49784,7
4630,4665,9
69297,99715,10
93156,31116,10
93931,74088,4
97337,21272,8
83790,83945,11
82964,83025,1
91795,6420,8
38890,98879,10
32608,98581,11
7774,99466,16
66988,94537,7
88934,13196,3
72793,93630,6
30640,93796,5
99520,47308,11
93759,82784,4
6654,6684,5
76100,75844,3
76100,76153,1
75844,76153,1
94765,78533,10
95733,9402,7
90579,49783,14
42827,99104,13
50574,50500,10
17741,94990,4
81562,98999,11
55269,55237,3
4554,97798,11
63511,95491,9
91477,69225,3
34474,34663,4
49158,50280,1
49158,49665,1
50280,49665,3
64331,61923,2
95324,2712,3
55162,90517,13
98294,32559,11
68251,94382,7
39537,39528,5
39537,39546,4
39528,39546,4
51503,99975,13
93551,14310,3
89644,18475,14
6874,6848,9
6874,6899,2
6848,6899,4
83173,94081,12
96475,77725,9
93714,12878,7
74427,74430,9
62758,95220,13
98979,87180,16
98979,58485,1
87180,58485,1
97749,71904,11
19694,90277,14
24242,89197,13
72255,71009,10
47262,99856,13
45263,45363,6
45263,45784,1
45263,45805,1
45363,45784,1
45363,45805,1
45784,45805,5
20060,99909,8
93847,79958,3
5000,5024,7
57424,96760,7
50309,99414,10
87683,11296,3
89586,24643,5
88020,37057,13
22554,96250,3
23594,23548,10
70099,70060,2
30533,30448,2
30533,30444,4
30448,30444,3
3206,3765,8
89063,65470,12
51546,98280,13
8177,96749,9
35648,97750,9
50626,50848,10
56240,94164,4
73873,73839,9
5477,94833,8
7976,99601,15
98029,29274,8
88459,35758,11
83812,83916,9
71721,91089,3
57826,57828,10
62839,91921,8
6520,6540,13
12508,12099,5
88433,33618,11
1683,94266,11
96903,3040,8
79303,99741,8
70636,79404,8
70636,92634,7
79404,92634,3
47475,97485,13
41496,41439,3
93995,84289,9
52028,97222,10
98595,13952,16
52154,52038,11
67596,90642,13
68149,91536,6
33513,30914,11
31554,89006,6
20815,99456,6
75087,90508,14
13293,13222,10
95000,47611,13
94378,82099,10
91547,33978,9
52793,87915,14
52793,99066,14
87915,99066,16
99989,54863,12
17360,17379,1
80546,94582,2
56156,55543,1
15227,15316,2
90151,66057,5
78728,77252,3
38119,38121,4
99149,43436,15
54499,57118,2
97737,27418,12
61913,61856,7
91461,92735,3
91461,49214,10
92735,49214,5
28065,91396,4
55518,92174,6
95578,88145,4
95578,2336,7
95578,93040,4
88145,2336,8
88145,93040,6
2336,93040,9
50947,50997,8
50947,96850,3
50997,96850,3
98567,25712,11
56478,56494,11
96563,72852,8
88143,53655,7
98215,42049,11
99262,74793,2
99262,74659,12
74793,74659,2
99584,55763,14
50325,88049,12
51742,51929,2
62464,62413,10
62464,62477,8
62413,62477,5
95175,92345,5
95175,43315,7
92345,43315,11
89186,87404,10
90834,47677,4
25044,94913,5
30076,97278,6
24418,96141,3
40435,90822,4
65889,63946,3
90961,2347,6
74181,74054,8
71322,70970,8
88297,6811,13
98345,18785,12
98345,18758,8
18785,18758,11
89242,36126,12
63295,98512,8
84512,98936,16
94327,58542,9
10453,13747,10
79313,95505,4
95812,37100,7
58327,58252,7
90746,82475,15
79276,99600,10
60106,94616,5
60106,59775,13
94616,59775,5
2545,94319,4
5349,91554,5
93085,62976,7
98686,7250,10
2012,2033,4
95842,36251,5
94901,20595,4
98091,20885,13
40606,88428,4
29831,92051,7
78644,98274,8
95027,44474,8
6321,90510,8
94542,77276,5
18129,89127,8
97535,74950,11
79521,98150,10
92908,31943,7
94268,68386,1
1621,99757,10
98944,44520,15
52414,92523,6
52414,53003,12
92523,53003,6
80160,97892,5
30423,89807,9
85856,94838,11
93821,15019,6
20870,93023,8
88667,48727,8
6323,5897,1
6323,96277,1
5897,96277,15
83997,84236,8
99524,6931,13
98560,21558,12
68643,68583,15
95300,11979,8
70891,91055,2
99160,5809,10
83258,88535,13
88512,39007,12
92883,31506,6
99397,81122,10
88170,37721,14
12700,88978,9
23070,23012,2
8263,91950,3
39251,36138,10
68578,68599,6
88113,26988,5
98171,76791,7
11767,91586,4
88124,59472,16
5468,5478,4
61754,95548,7
62364,62365,7
44872,90060,10
39152,89310,3
97409,67854,2
97409,99006,1
97409,67985,1
97409,67899,10
97409,67857,2
67854,99006,2
67854,67985,2
67854,67899,2
67854,67857,4
99006,67985,14
99006,67899,1
99006,67857,2
67985,67899,1
67985,67857,2
67899,67857,2
111,98060,4
40077,39991,1
33781,33762,4
33781,33746,3
33762,33746,11
98097,36538,8
40023,99325,11
96348,45476,6
13732,93163,3
38816,38883,3
1996,91188,7
67540,94666,11
39525,99808,9
99986,40359,16
21739,93185,8
93792,21248,5
94233,34965,16
94444,16395,11
27507,27406,5
40832,89345,4
30692,30621,3
14342,14354,8
52113,92467,7
73476,73636,1
98605,56481,9
38588,89894,15
97723,16297,11
50908,50888,4
34556,34253,8
99446,31613,11
63611,63530,9
98526,76040,14
34686,34614,8
74706,74738,10
95337,22957,10
51882,96411,3
2030,2648,12
8117,97102,11
90978,64734,10
71300,92656,6
88248,59180,8
96246,78216,4
91176,32303,4
4962,99473,13
89014,51258,15
48091,98006,6
88933,13533,11
95186,30576,8
96846,80688,7
88087,28638,14
55952,98578,12
25484,25319,9
20124,90699,14
