doc_id,row_idx
9332,901
82877,902
53651,903
1716,904
30756,905
65820,906
30073,907
72650,908
19496,909
88554,910
16824,911
50544,912
60988,913
83839,914
46561,915
15354,916
33915,917
52542,918
34164,919
36958,920
8529,921
99615,922
76339,923
23179,924
8012,925
1262,926
38696,927
651,928
11584,929
48025,930
41589,931
21225,932
90169,933
13462,934
89723,935
52300,936
52313,937
42132,938
78198,939
67876,940
11236,941
98292,942
86173,943
82069,944
42697,945
21405,946
18036,947
24779,948
74033,949
16729,950
69285,951
85101,952
38081,953
10328,954
53902,955
86197,956
94244,957
58263,958
86888,959
30334,960
87014,961
67428,962
11213,963
98995,964
77549,965
92344,966
2985,967
53023,968
3200,969
97156,970
31588,971
34606,972
84548,973
94228,974
51050,975
46265,976
85091,977
4282,978
58758,979
30906,980
90269,981
37880,982
56990,983
78398,984
34054,985
49883,986
66121,987
2383,988
78808,989
74839,990
64889,991
85801,992
43809,993
63713,994
81674,995
14225,996
31265,997
92513,998
66556,999
38835,1000
88565,1001
15723,1002
74735,1003
34677,1004
14734,1005
24155,1006
71378,1007
74293,1008
47749,1009
32799,1010
51146,1011
22449,1012
55263,1013
66577,1014
38903,1015
48679,1016
64601,1017
50712,1018
16248,1019
89283,1020
80564,1021
53831,1022
67118,1023
33542,1024
43959,1025
38544,1026
32329,1027
49968,1028
54433,1029
33802,1030
5744,1031
10956,1032
29736,1033
28165,1034
74120,1035
17582,1036
13322,1037
1157,1038
46556,1039
43829,1040
34823,1041
59911,1042
43797,1043
1490,1044
99708,1045
1696,1046
29666,1047
27238,1048
17023,1049
71173,1050
32305,1051
96539,1052
39854,1053
81248,1054
7670,1055
97144,1056
88929,1057
43106,1058
47361,1059
31216,1060
45883,1061
56609,1062
29756,1063
74779,1064
73461,1065
27995,1066
46474,1067
80377,1068
79697,1069
78909,1070
79679,1071
87055,1072
53326,1073
3994,1074
29353,1075
5755,1076
49846,1077
91508,1078
43057,1079
94877,1080
11685,1081
84230,1082
51348,1083
90176,1084
19188,1085
6979,1086
87460,1087
99398,1088
36943,1089
6004,1090
66921,1091
25876,1092
21983,1093
45020,1094
10826,1095
51441,1096
99641,1097
65755,1098
53397,1099
48087,1100
33759,1101
60616,1102
10056,1103
46028,1104
16908,1105
30063,1106
24222,1107
3683,1108
90306,1109
84637,1110
29910,1111
73359,1112
28067,1113
71152,1114
9171,1115
64318,1116
19613,1117
57389,1118
37692,1119
1066,1120
69928,1121
56732,1122
73284,1123
65222,1124
20393,1125
60545,1126
39224,1127
14366,1128
94988,1129
85256,1130
10805,1131
8214,1132
24453,1133
60296,1134
51951,1135
97140,1136
79846,1137
85715,1138
65016,1139
53076,1140
19513,1141
19308,1142
51989,1143
75005,1144
50366,1145
72233,1146
95108,1147
21820,1148
50243,1149
95560,1150
61514,1151
34937,1152
45300,1153
43994,1154
32192,1155
35342,1156
37017,1157
2162,1158
99476,1159
94505,1160
3741,1161
44420,1162
35640,1163
99199,1164
88972,1165
77091,1166
59711,1167
91140,1168
27788,1169
26034,1170
2102,1171
54490,1172
38754,1173
91015,1174
14377,1175
35884,1176
71086,1177
8336,1178
40783,1179
44535,1180
77342,1181
54588,1182
11757,1183
23618,1184
99303,1185
38772,1186
98556,1187
25855,1188
56815,1189
40292,1190
5585,1191
15907,1192
26531,1193
97451,1194
17631,1195
14509,1196
88192,1197
54747,1198
12933,1199
95068,1200
58950,1201
92213,1202
69376,1203
536,1204
38398,1205
5271,1206
61960,1207
15211,1208
84181,1209
81883,1210
53560,1211
39815,1212
96907,1213
192,1214
22656,1215
86594,1216
35305,1217
76674,1218
